areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
ltla,Colchester,E07000071,2020-08-21,0,743
ltla,Colchester,E07000071,2020-08-20,0,743
ltla,Colchester,E07000071,2020-08-19,0,743
ltla,Colchester,E07000071,2020-08-18,0,743
ltla,Colchester,E07000071,2020-08-17,0,743
ltla,Colchester,E07000071,2020-08-16,0,743
ltla,Colchester,E07000071,2020-08-15,2,743
ltla,Colchester,E07000071,2020-08-14,2,741
ltla,Colchester,E07000071,2020-08-13,3,739
ltla,Colchester,E07000071,2020-08-12,0,736
ltla,Colchester,E07000071,2020-08-11,1,736
ltla,Colchester,E07000071,2020-08-10,0,735
ltla,Colchester,E07000071,2020-08-09,0,735
ltla,Colchester,E07000071,2020-08-08,1,735
ltla,Colchester,E07000071,2020-08-07,0,734
ltla,Colchester,E07000071,2020-08-06,0,734
ltla,Colchester,E07000071,2020-08-05,1,734
ltla,Colchester,E07000071,2020-08-04,0,733
ltla,Colchester,E07000071,2020-08-03,1,733
ltla,Colchester,E07000071,2020-08-02,0,732
ltla,Colchester,E07000071,2020-08-01,0,732
ltla,Colchester,E07000071,2020-07-31,0,732
ltla,Colchester,E07000071,2020-07-30,2,732
ltla,Colchester,E07000071,2020-07-29,0,730
ltla,Colchester,E07000071,2020-07-28,2,730
ltla,Colchester,E07000071,2020-07-27,0,728
ltla,Colchester,E07000071,2020-07-26,0,728
ltla,Colchester,E07000071,2020-07-25,2,728
ltla,Colchester,E07000071,2020-07-24,1,726
ltla,Colchester,E07000071,2020-07-23,1,725
ltla,Colchester,E07000071,2020-07-22,3,724
ltla,Colchester,E07000071,2020-07-21,3,721
ltla,Colchester,E07000071,2020-07-20,3,718
ltla,Colchester,E07000071,2020-07-19,3,715
ltla,Colchester,E07000071,2020-07-18,1,712
ltla,Colchester,E07000071,2020-07-17,0,711
ltla,Colchester,E07000071,2020-07-16,0,711
ltla,Colchester,E07000071,2020-07-15,1,711
ltla,Colchester,E07000071,2020-07-14,1,710
ltla,Colchester,E07000071,2020-07-13,0,709
ltla,Colchester,E07000071,2020-07-12,1,709
ltla,Colchester,E07000071,2020-07-11,1,708
ltla,Colchester,E07000071,2020-07-10,1,707
ltla,Colchester,E07000071,2020-07-09,0,706
ltla,Colchester,E07000071,2020-07-08,0,706
ltla,Colchester,E07000071,2020-07-07,0,706
ltla,Colchester,E07000071,2020-07-06,1,706
ltla,Colchester,E07000071,2020-07-05,0,705
ltla,Colchester,E07000071,2020-07-04,1,705
ltla,Colchester,E07000071,2020-07-03,1,704
ltla,Colchester,E07000071,2020-07-02,0,703
ltla,Colchester,E07000071,2020-07-01,0,703
ltla,Colchester,E07000071,2020-06-30,2,703
ltla,Colchester,E07000071,2020-06-29,1,701
ltla,Colchester,E07000071,2020-06-28,1,700
ltla,Colchester,E07000071,2020-06-27,0,699
ltla,Colchester,E07000071,2020-06-26,2,699
ltla,Colchester,E07000071,2020-06-25,1,697
ltla,Colchester,E07000071,2020-06-24,1,696
ltla,Colchester,E07000071,2020-06-23,0,695
ltla,Colchester,E07000071,2020-06-22,0,695
ltla,Colchester,E07000071,2020-06-21,0,695
ltla,Colchester,E07000071,2020-06-20,0,695
ltla,Colchester,E07000071,2020-06-19,2,695
ltla,Colchester,E07000071,2020-06-18,1,693
ltla,Colchester,E07000071,2020-06-17,0,692
ltla,Colchester,E07000071,2020-06-16,1,692
ltla,Colchester,E07000071,2020-06-15,0,691
ltla,Colchester,E07000071,2020-06-14,1,691
ltla,Colchester,E07000071,2020-06-13,0,690
ltla,Colchester,E07000071,2020-06-12,0,690
ltla,Colchester,E07000071,2020-06-11,0,690
ltla,Colchester,E07000071,2020-06-10,2,690
ltla,Colchester,E07000071,2020-06-09,1,688
ltla,Colchester,E07000071,2020-06-08,0,687
ltla,Colchester,E07000071,2020-06-07,0,687
ltla,Colchester,E07000071,2020-06-06,1,687
ltla,Colchester,E07000071,2020-06-05,3,686
ltla,Colchester,E07000071,2020-06-04,3,683
ltla,Colchester,E07000071,2020-06-03,3,680
ltla,Colchester,E07000071,2020-06-02,3,677
ltla,Colchester,E07000071,2020-06-01,1,674
ltla,Colchester,E07000071,2020-05-31,0,673
ltla,Colchester,E07000071,2020-05-30,0,673
ltla,Colchester,E07000071,2020-05-29,0,673
ltla,Colchester,E07000071,2020-05-28,3,673
ltla,Colchester,E07000071,2020-05-27,3,670
ltla,Colchester,E07000071,2020-05-26,0,667
ltla,Colchester,E07000071,2020-05-25,1,667
ltla,Colchester,E07000071,2020-05-24,4,666
