areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
utla,Essex,E10000012,2020-08-21,0,5880
utla,Essex,E10000012,2020-08-20,10,5880
utla,Essex,E10000012,2020-08-19,9,5870
utla,Essex,E10000012,2020-08-18,11,5861
utla,Essex,E10000012,2020-08-17,11,5850
utla,Essex,E10000012,2020-08-16,2,5839
utla,Essex,E10000012,2020-08-15,8,5837
utla,Essex,E10000012,2020-08-14,12,5829
utla,Essex,E10000012,2020-08-13,13,5817
utla,Essex,E10000012,2020-08-12,9,5804
utla,Essex,E10000012,2020-08-11,9,5795
utla,Essex,E10000012,2020-08-10,9,5786
utla,Essex,E10000012,2020-08-09,3,5777
utla,Essex,E10000012,2020-08-08,7,5774
utla,Essex,E10000012,2020-08-07,5,5767
utla,Essex,E10000012,2020-08-06,4,5762
utla,Essex,E10000012,2020-08-05,5,5758
utla,Essex,E10000012,2020-08-04,8,5753
utla,Essex,E10000012,2020-08-03,16,5745
utla,Essex,E10000012,2020-08-02,8,5729
utla,Essex,E10000012,2020-08-01,5,5721
utla,Essex,E10000012,2020-07-31,5,5716
utla,Essex,E10000012,2020-07-30,7,5711
utla,Essex,E10000012,2020-07-29,10,5704
utla,Essex,E10000012,2020-07-28,5,5694
utla,Essex,E10000012,2020-07-27,15,5689
utla,Essex,E10000012,2020-07-26,2,5674
utla,Essex,E10000012,2020-07-25,6,5672
utla,Essex,E10000012,2020-07-24,13,5666
utla,Essex,E10000012,2020-07-23,14,5653
utla,Essex,E10000012,2020-07-22,12,5639
utla,Essex,E10000012,2020-07-21,19,5627
utla,Essex,E10000012,2020-07-20,24,5608
utla,Essex,E10000012,2020-07-19,6,5584
utla,Essex,E10000012,2020-07-18,6,5578
utla,Essex,E10000012,2020-07-17,10,5572
utla,Essex,E10000012,2020-07-16,9,5562
utla,Essex,E10000012,2020-07-15,14,5553
utla,Essex,E10000012,2020-07-14,28,5539
utla,Essex,E10000012,2020-07-13,12,5511
utla,Essex,E10000012,2020-07-12,6,5499
utla,Essex,E10000012,2020-07-11,5,5493
utla,Essex,E10000012,2020-07-10,9,5488
utla,Essex,E10000012,2020-07-09,16,5479
utla,Essex,E10000012,2020-07-08,26,5463
utla,Essex,E10000012,2020-07-07,7,5437
utla,Essex,E10000012,2020-07-06,10,5430
utla,Essex,E10000012,2020-07-05,5,5420
utla,Essex,E10000012,2020-07-04,10,5415
utla,Essex,E10000012,2020-07-03,12,5405
utla,Essex,E10000012,2020-07-02,11,5393
utla,Essex,E10000012,2020-07-01,6,5382
utla,Essex,E10000012,2020-06-30,9,5376
utla,Essex,E10000012,2020-06-29,7,5367
utla,Essex,E10000012,2020-06-28,5,5360
utla,Essex,E10000012,2020-06-27,3,5355
utla,Essex,E10000012,2020-06-26,14,5352
utla,Essex,E10000012,2020-06-25,9,5338
utla,Essex,E10000012,2020-06-24,14,5329
utla,Essex,E10000012,2020-06-23,12,5315
utla,Essex,E10000012,2020-06-22,7,5303
utla,Essex,E10000012,2020-06-21,6,5296
utla,Essex,E10000012,2020-06-20,3,5290
utla,Essex,E10000012,2020-06-19,14,5287
utla,Essex,E10000012,2020-06-18,8,5273
utla,Essex,E10000012,2020-06-17,11,5265
utla,Essex,E10000012,2020-06-16,17,5254
utla,Essex,E10000012,2020-06-15,32,5237
utla,Essex,E10000012,2020-06-14,21,5205
utla,Essex,E10000012,2020-06-13,21,5184
utla,Essex,E10000012,2020-06-12,13,5163
utla,Essex,E10000012,2020-06-11,16,5150
utla,Essex,E10000012,2020-06-10,12,5134
utla,Essex,E10000012,2020-06-09,20,5122
utla,Essex,E10000012,2020-06-08,5,5102
utla,Essex,E10000012,2020-06-07,4,5097
utla,Essex,E10000012,2020-06-06,6,5093
utla,Essex,E10000012,2020-06-05,21,5087
utla,Essex,E10000012,2020-06-04,21,5066
utla,Essex,E10000012,2020-06-03,26,5045
utla,Essex,E10000012,2020-06-02,29,5019
utla,Essex,E10000012,2020-06-01,17,4990
utla,Essex,E10000012,2020-05-31,11,4973
utla,Essex,E10000012,2020-05-30,16,4962
utla,Essex,E10000012,2020-05-29,20,4946
utla,Essex,E10000012,2020-05-28,31,4926
utla,Essex,E10000012,2020-05-27,37,4895
utla,Essex,E10000012,2020-05-26,34,4858
utla,Essex,E10000012,2020-05-25,26,4824
utla,Essex,E10000012,2020-05-24,20,4798
utla,Essex,E10000012,2020-05-23,23,4778
utla,Essex,E10000012,2020-05-22,45,4755
utla,Essex,E10000012,2020-05-21,48,4710
utla,Essex,E10000012,2020-05-20,52,4662
utla,Essex,E10000012,2020-05-19,50,4610
utla,Essex,E10000012,2020-05-18,57,4560
utla,Essex,E10000012,2020-05-17,27,4503
utla,Essex,E10000012,2020-05-16,32,4476
utla,Essex,E10000012,2020-05-15,27,4444
utla,Essex,E10000012,2020-05-14,41,4417
utla,Essex,E10000012,2020-05-13,64,4376
utla,Essex,E10000012,2020-05-12,56,4312
utla,Essex,E10000012,2020-05-11,83,4256
utla,Essex,E10000012,2020-05-10,48,4173
utla,Essex,E10000012,2020-05-09,31,4125
utla,Essex,E10000012,2020-05-08,48,4094
utla,Essex,E10000012,2020-05-07,86,4046
utla,Essex,E10000012,2020-05-06,79,3960
utla,Essex,E10000012,2020-05-05,99,3881
utla,Essex,E10000012,2020-05-04,72,3782
utla,Essex,E10000012,2020-05-03,84,3710
utla,Essex,E10000012,2020-05-02,63,3626
utla,Essex,E10000012,2020-05-01,98,3563
utla,Essex,E10000012,2020-04-30,91,3465
utla,Essex,E10000012,2020-04-29,105,3374
utla,Essex,E10000012,2020-04-28,115,3269
utla,Essex,E10000012,2020-04-27,143,3154
utla,Essex,E10000012,2020-04-26,101,3011
utla,Essex,E10000012,2020-04-25,127,2910
utla,Essex,E10000012,2020-04-24,138,2783
utla,Essex,E10000012,2020-04-23,116,2645
utla,Essex,E10000012,2020-04-22,125,2529
utla,Essex,E10000012,2020-04-21,117,2404
utla,Essex,E10000012,2020-04-20,107,2287
utla,Essex,E10000012,2020-04-19,78,2180
utla,Essex,E10000012,2020-04-18,78,2102
utla,Essex,E10000012,2020-04-17,67,2024
utla,Essex,E10000012,2020-04-16,75,1957
utla,Essex,E10000012,2020-04-15,72,1882
utla,Essex,E10000012,2020-04-14,53,1810
utla,Essex,E10000012,2020-04-13,82,1757
