areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
utla,Lancashire,E10000017,2020-08-21,0,7924
utla,Lancashire,E10000017,2020-08-20,17,7924
utla,Lancashire,E10000017,2020-08-19,24,7907
utla,Lancashire,E10000017,2020-08-18,28,7883
utla,Lancashire,E10000017,2020-08-17,27,7855
utla,Lancashire,E10000017,2020-08-16,21,7828
utla,Lancashire,E10000017,2020-08-15,18,7807
utla,Lancashire,E10000017,2020-08-14,35,7789
utla,Lancashire,E10000017,2020-08-13,34,7754
utla,Lancashire,E10000017,2020-08-12,41,7720
utla,Lancashire,E10000017,2020-08-11,54,7679
utla,Lancashire,E10000017,2020-08-10,64,7625
utla,Lancashire,E10000017,2020-08-09,34,7561
utla,Lancashire,E10000017,2020-08-08,26,7527
utla,Lancashire,E10000017,2020-08-07,39,7501
utla,Lancashire,E10000017,2020-08-06,37,7462
utla,Lancashire,E10000017,2020-08-05,44,7425
utla,Lancashire,E10000017,2020-08-04,64,7381
utla,Lancashire,E10000017,2020-08-03,52,7317
utla,Lancashire,E10000017,2020-08-02,43,7265
utla,Lancashire,E10000017,2020-08-01,22,7222
utla,Lancashire,E10000017,2020-07-31,20,7200
utla,Lancashire,E10000017,2020-07-30,32,7180
utla,Lancashire,E10000017,2020-07-29,53,7148
utla,Lancashire,E10000017,2020-07-28,17,7095
utla,Lancashire,E10000017,2020-07-27,21,7078
utla,Lancashire,E10000017,2020-07-26,19,7057
utla,Lancashire,E10000017,2020-07-25,21,7038
utla,Lancashire,E10000017,2020-07-24,15,7017
utla,Lancashire,E10000017,2020-07-23,22,7002
utla,Lancashire,E10000017,2020-07-22,35,6980
utla,Lancashire,E10000017,2020-07-21,26,6945
utla,Lancashire,E10000017,2020-07-20,22,6919
utla,Lancashire,E10000017,2020-07-19,11,6897
utla,Lancashire,E10000017,2020-07-18,20,6886
utla,Lancashire,E10000017,2020-07-17,20,6866
utla,Lancashire,E10000017,2020-07-16,21,6846
utla,Lancashire,E10000017,2020-07-15,21,6825
utla,Lancashire,E10000017,2020-07-14,13,6804
utla,Lancashire,E10000017,2020-07-13,15,6791
utla,Lancashire,E10000017,2020-07-12,5,6776
utla,Lancashire,E10000017,2020-07-11,13,6771
utla,Lancashire,E10000017,2020-07-10,18,6758
utla,Lancashire,E10000017,2020-07-09,25,6740
utla,Lancashire,E10000017,2020-07-08,12,6715
utla,Lancashire,E10000017,2020-07-07,32,6703
utla,Lancashire,E10000017,2020-07-06,21,6671
utla,Lancashire,E10000017,2020-07-05,19,6650
utla,Lancashire,E10000017,2020-07-04,5,6631
utla,Lancashire,E10000017,2020-07-03,7,6626
utla,Lancashire,E10000017,2020-07-02,11,6619
utla,Lancashire,E10000017,2020-07-01,7,6608
utla,Lancashire,E10000017,2020-06-30,10,6601
utla,Lancashire,E10000017,2020-06-29,11,6591
utla,Lancashire,E10000017,2020-06-28,17,6580
utla,Lancashire,E10000017,2020-06-27,9,6563
utla,Lancashire,E10000017,2020-06-26,12,6554
utla,Lancashire,E10000017,2020-06-25,16,6542
utla,Lancashire,E10000017,2020-06-24,13,6526
utla,Lancashire,E10000017,2020-06-23,13,6513
utla,Lancashire,E10000017,2020-06-22,25,6500
utla,Lancashire,E10000017,2020-06-21,14,6475
utla,Lancashire,E10000017,2020-06-20,23,6461
utla,Lancashire,E10000017,2020-06-19,32,6438
utla,Lancashire,E10000017,2020-06-18,37,6406
utla,Lancashire,E10000017,2020-06-17,23,6369
utla,Lancashire,E10000017,2020-06-16,31,6346
utla,Lancashire,E10000017,2020-06-15,24,6315
utla,Lancashire,E10000017,2020-06-14,22,6291
utla,Lancashire,E10000017,2020-06-13,18,6269
utla,Lancashire,E10000017,2020-06-12,23,6251
utla,Lancashire,E10000017,2020-06-11,26,6228
utla,Lancashire,E10000017,2020-06-10,43,6202
utla,Lancashire,E10000017,2020-06-09,34,6159
utla,Lancashire,E10000017,2020-06-08,37,6125
utla,Lancashire,E10000017,2020-06-07,31,6088
utla,Lancashire,E10000017,2020-06-06,37,6057
utla,Lancashire,E10000017,2020-06-05,29,6020
utla,Lancashire,E10000017,2020-06-04,39,5991
utla,Lancashire,E10000017,2020-06-03,36,5952
utla,Lancashire,E10000017,2020-06-02,50,5916
utla,Lancashire,E10000017,2020-06-01,53,5866
utla,Lancashire,E10000017,2020-05-31,38,5813
utla,Lancashire,E10000017,2020-05-30,32,5775
utla,Lancashire,E10000017,2020-05-29,60,5743
utla,Lancashire,E10000017,2020-05-28,49,5683
utla,Lancashire,E10000017,2020-05-27,60,5634
utla,Lancashire,E10000017,2020-05-26,70,5574
utla,Lancashire,E10000017,2020-05-25,69,5504
utla,Lancashire,E10000017,2020-05-24,50,5435
utla,Lancashire,E10000017,2020-05-23,48,5385
utla,Lancashire,E10000017,2020-05-22,59,5337
utla,Lancashire,E10000017,2020-05-21,91,5278
utla,Lancashire,E10000017,2020-05-20,97,5187
utla,Lancashire,E10000017,2020-05-19,107,5090
utla,Lancashire,E10000017,2020-05-18,57,4983
utla,Lancashire,E10000017,2020-05-17,54,4926
utla,Lancashire,E10000017,2020-05-16,90,4872
