areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
ltla,Lancaster,E07000121,2020-08-21,0,907
ltla,Lancaster,E07000121,2020-08-20,2,907
ltla,Lancaster,E07000121,2020-08-19,1,905
ltla,Lancaster,E07000121,2020-08-18,1,904
ltla,Lancaster,E07000121,2020-08-17,0,903
ltla,Lancaster,E07000121,2020-08-16,0,903
ltla,Lancaster,E07000121,2020-08-15,0,903
ltla,Lancaster,E07000121,2020-08-14,0,903
ltla,Lancaster,E07000121,2020-08-13,0,903
ltla,Lancaster,E07000121,2020-08-12,1,903
ltla,Lancaster,E07000121,2020-08-11,0,902
ltla,Lancaster,E07000121,2020-08-10,1,902
ltla,Lancaster,E07000121,2020-08-09,1,901
ltla,Lancaster,E07000121,2020-08-08,0,900
ltla,Lancaster,E07000121,2020-08-07,0,900
ltla,Lancaster,E07000121,2020-08-06,1,900
ltla,Lancaster,E07000121,2020-08-05,3,899
ltla,Lancaster,E07000121,2020-08-04,1,896
ltla,Lancaster,E07000121,2020-08-03,1,895
ltla,Lancaster,E07000121,2020-08-02,0,894
ltla,Lancaster,E07000121,2020-08-01,2,894
ltla,Lancaster,E07000121,2020-07-31,1,892
ltla,Lancaster,E07000121,2020-07-30,1,891
ltla,Lancaster,E07000121,2020-07-29,0,890
ltla,Lancaster,E07000121,2020-07-28,1,890
ltla,Lancaster,E07000121,2020-07-27,0,889
ltla,Lancaster,E07000121,2020-07-26,1,889
ltla,Lancaster,E07000121,2020-07-25,1,888
ltla,Lancaster,E07000121,2020-07-24,2,887
ltla,Lancaster,E07000121,2020-07-23,0,885
ltla,Lancaster,E07000121,2020-07-22,0,885
ltla,Lancaster,E07000121,2020-07-21,0,885
ltla,Lancaster,E07000121,2020-07-20,0,885
ltla,Lancaster,E07000121,2020-07-19,0,885
ltla,Lancaster,E07000121,2020-07-18,1,885
ltla,Lancaster,E07000121,2020-07-17,0,884
ltla,Lancaster,E07000121,2020-07-16,0,884
ltla,Lancaster,E07000121,2020-07-15,0,884
ltla,Lancaster,E07000121,2020-07-14,0,884
ltla,Lancaster,E07000121,2020-07-13,1,884
ltla,Lancaster,E07000121,2020-07-12,0,883
ltla,Lancaster,E07000121,2020-07-11,1,883
ltla,Lancaster,E07000121,2020-07-10,0,882
ltla,Lancaster,E07000121,2020-07-09,0,882
ltla,Lancaster,E07000121,2020-07-08,0,882
ltla,Lancaster,E07000121,2020-07-07,0,882
